0.598,-0.167,9.728,-0.029,-0.089,-0.001
0.598,-0.196,9.709,-0.030,-0.085,0.001
0.569,-0.177,9.709,-0.033,-0.079,-0.003
0.628,-0.137,9.718,-0.033,-0.073,-0.008
0.667,-0.137,9.709,-0.031,-0.069,-0.010
0.696,-0.157,9.689,-0.034,-0.062,-0.011
0.755,-0.157,9.669,-0.033,-0.053,-0.016
0.804,-0.147,9.689,-0.033,-0.042,-0.026
0.843,-0.167,9.699,-0.033,-0.037,-0.037
0.814,-0.186,9.669,-0.035,-0.029,-0.048
0.824,-0.216,9.669,-0.032,-0.021,-0.057
0.814,-0.196,9.679,-0.031,-0.011,-0.063
0.834,-0.226,9.689,-0.031,-0.006,-0.067
0.912,-0.255,9.709,-0.024,-0.000,-0.068
0.902,-0.284,9.679,-0.023,0.008,-0.061
0.883,-0.255,9.669,-0.026,0.018,-0.053
0.883,-0.245,9.689,-0.020,0.025,-0.049
0.863,-0.304,9.699,-0.017,0.030,-0.044
0.853,-0.265,9.728,-0.019,0.038,-0.034
0.785,-0.265,9.679,-0.017,0.044,-0.024
0.775,-0.304,9.718,-0.014,0.053,-0.011
0.765,-0.294,9.709,-0.015,0.058,0.003
0.775,-0.294,9.709,-0.013,0.063,0.011
0.755,-0.324,9.709,-0.009,0.068,0.021
0.716,-0.314,9.699,-0.012,0.075,0.027
0.667,-0.333,9.738,-0.012,0.079,0.026
0.657,-0.294,9.738,-0.012,0.080,0.024
0.637,-0.284,9.738,-0.009,0.081,0.020
0.628,-0.314,9.738,-0.009,0.082,0.014
0.657,-0.294,9.748,-0.007,0.082,0.007
0.657,-0.275,9.758,-0.004,0.083,-0.001
0.647,-0.275,9.738,-0.003,0.081,-0.016
0.588,-0.275,9.718,-0.006,0.076,-0.030
0.549,-0.294,9.728,-0.001,0.073,-0.039
0.530,-0.255,9.738,0.001,0.069,-0.048
0.510,-0.275,9.748,-0.000,0.063,-0.052
0.490,-0.314,9.718,0.006,0.057,-0.055
0.539,-0.314,9.709,0.011,0.051,-0.050
0.539,-0.294,9.728,0.008,0.043,-0.041
0.539,-0.167,9.748,0.010,0.033,-0.029
0.539,-0.147,9.748,0.015,0.026,-0.017
0.539,-0.196,9.738,0.009,0.019,-0.005
0.500,-0.196,9.758,0.008,0.012,0.003
0.510,-0.196,9.758,0.011,0.003,0.010
0.500,-0.196,9.758,0.009,-0.007,0.017
0.471,-0.206,9.758,0.007,-0.014,0.024
0.481,-0.235,9.767,0.008,-0.023,0.029
0.500,-0.216,9.787,0.008,-0.030,0.032
0.451,-0.245,9.767,0.005,-0.035,0.033
0.422,-0.226,9.748,0.004,-0.039,0.027
0.392,-0.275,9.758,0.005,-0.038,0.014
0.402,-0.363,9.758,0.000,-0.042,0.005
0.412,-0.275,9.777,-0.003,-0.047,-0.008
0.412,-0.304,9.777,0.006,-0.052,-0.023
